"Type","Content"
"TEXT","unrelated person, outsider."
"CEBPHRASE","Nagbalunbálun pa man ka. Mau ra ka mag láing táwu,"
"TEXT","You’re bringing food, as if you weren’t related to us."
"CEBPHRASE","Way láing táwung pasudlun dinhi,"
"TEXT","No outsider is allowed in."
"NUMBER","7"
"CEBWORD","— pay ákù, átù"
"NUMBER","7a"
"TEXT","by the way."
"CEBPHRASE","Láin pay átù, tagadiin man tu ka?"
"TEXT","By the way, where do you say you come from?"
"NUMBER","7b"
"LINK","mau pay ákù"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A3]"
"TEXT","be, become different, unusual."
"CEBPHRASE","Ug muláin ang andar sa makina, pahunúnga,"
"TEXT","If the engine develops a strange sound, turn it off."
