"Type","Content"
"TEXT","Set this aside for him."
"CEBWORD","lainlain"
"WORDTYPE","a"
"NUMBER","1"
"TEXT","k.o. crazy."
"NUMBER","2"
"TEXT","thieves."
"CEBPHRASE","Kaning mga iskwátir mga lainlain,"
"TEXT","The squatters around here are a bunch of thieves."
"NUMBER","3"
"TEXT","people of supernatural powers."
"CEBPHRASE","Dílì maáyung paliwatan nang mga tawhána nga lainlain,"
"TEXT","We mustn’t marry our children off to those people because they are thought to be vampires."
"CEBWORD","lainláin"
"WORDTYPE","a"
"TEXT","various."
"CEBPHRASE","Lainláin ang mga klási sa pagkáun,"
"TEXT","There are all different kinds of food."
"WORDTYPE","v"
"CLASS","[A13; a12]"
"NUMBER","1"
"TEXT","be varied."
"CEBPHRASE","Lainlaínun nákù ang kulur sa bungbung,"
"TEXT","I’ll paint the walls all different colors."
"NUMBER","2"
"TEXT","do s.t. separately or alone by oneself."
"CEBPHRASE","Ngánung naglainlàin ka mag káun dihà?"
"TEXT","Why are you eating alone by yourself there?"
"CEBWORD","kalainláin"
"WORDTYPE","v"
"CLASS","[A13]"
"TEXT","be all different."
"CEBWORD","ka-an"
"WORDTYPE","n"
"NUMBER","1"
"TEXT","difference."
"CEBPHRASE","Wà kay kalaínan sa kawatan,"
"TEXT","You’re no different from a thief."
"NUMBER","2"
"TEXT","change."
"CEBPHRASE","Dakù ang kalaínan nga mahímù sa ímung pánit ug mugámit kag Kamay,"
"TEXT","It will make a great difference for your skin if you use Camay."
"CEBWORD","-un(→)"
"WORDTYPE","a"
"CEBWORD","— ug buut, úlu, kamut, etc."
"TEXT","of the sort that gets easily angered, tends to be crazy, tends to steal."
"CEBWORD","pa-(→)"
"WORDTYPE","v"
"CLASS","[A; b6]"
"TEXT","change the subject in a conversation."
"CEBPHRASE","Wà ku maagpas kay mipalain siya sa íyang isturya,"
"TEXT","I did not understand because he changed the tack of his story."
"CEBPHRASE","Palainan nátù ang sulti,"
"TEXT","Let’s change the tack of our conversation."
"CEBWORD","panag-"
"WORDTYPE","v"
"CLASS","[c]"
"LINK","panig-: 1."
"CEBWORD","panig-"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A23; c2]"
"TEXT","feel like a stranger, be treated like a stranger."
"CEBPHRASE","Dílì siya manigláin nákù kay dúgay na mi nga nagkaíla,"
"TEXT","He feels at home with me because we’ve been friends for a long time."
"CEBPHRASE","Mahiubus ku ug ímu kung paniglaínan (ipanigláin, ipanagláin),"
"TEXT","I will be hurt if you treat me like a stranger."
"NUMBER","2"
"CLASS","[A23; c3]"
"TEXT","treat s.o. as if he were not related."
"CEBPHRASE","Dì ku manigláin sa paryinti sa ákung asáwa,"
"TEXT","I will not treat my wife’s relatives like outsiders."
