"Type","Content"
"CEBPHRASE","Sukad sila namalhin aku na lang ang nahibilin,"
"TEXT","After they moved away I was the only one left."
"CEBPHRASE","Human na ang tanan, paglimpiyu na lang,"
"TEXT","Everything is done. Only the cleaning remains."
"CEBPHRASE","Duul na lang ang átung gidulngan,"
"TEXT","It is just a little way further to where we’re going."
"NUMBER","3b"
"TEXT","just take [so-and-so] rather than some other manifestly better choice."
"NUMBER","3b1"
"TEXT","<i lang=""cebword"">with nominal predicate and verb subject:</i> [so-and-so] will do it, though it should not be so."
"CEBPHRASE","Aku na lay tiwas áni, kay madúgay ug láing táwu,"
"TEXT","Let me just do this myself because it would take forever if s.o. else were to do it."
"NUMBER","3b2"
"TEXT","<i lang=""cebword"">with quantities:</i> just make it [so-and-so much] (which is less than what one would ordinarily get)."
"CEBPHRASE","Trayinta na lang ni, ha?"
"TEXT","Just let me have it for thirty, this time, all right? <b>3b2a</b>"
"CEBWORD","anhi —"
"TEXT","just here (when I really want to do it elsewhere)."
"CEBPHRASE","Kay lisud man ug musúd, anhi na lang ku sa iskína manáug,"
"TEXT","Since it’s difficult to take a vehicle in, I’ll just get off at the corner."
"NUMBER","3b3"
"TEXT","[do] as the best choice under the circumstances."
"CEBPHRASE","Gamsa na lang nang isdáa kay wà nay mupalit,"
"TEXT","You might as well just salt that fish because there isn’t anybody who’ll buy it."
"CEBPHRASE","Ayaw na lag dad-a ug bug-atan ka,"
"TEXT","Don’t bother taking it if you find it too heavy."
"CEBWORD","sígi na —"
"LINK","sígi lámang"
"CEBWORD","ákù, íya na —"
"TEXT","let me (him) have it (although you might have s.t. better to do with it)."
"CEBPHRASE","ákù na lang ni, ha?"
"TEXT","Let me have it, may I?"
"CEBWORD","salámat na —"
"TEXT","I thank you, since I can’t pay you any other way."
"CEBPHRASE","Ug dì ka pabáyad, salámat na lang,"
"TEXT","Since you won’t let me pay you, just let me thank you."
"NUMBER","3c"
"TEXT","can’t help [do]ing."
"CEBPHRASE","Sa tantung kapungut nalímut na lang siya sa íyang kaugalíngun,"
"TEXT","He was so angry he just forgot himself."
"NUMBER","3c1"
"TEXT","<i lang=""cebword"">following expressions referring to time:</i> it’s already [so-and-so] late and s.t. still hasn’t happened or hasn’t stopped happening."
"CEBPHRASE","Udtu na lang ug naglúkun lang gihápun sa banig,"
"TEXT","It’s already noon, and he’s still curled up asleep."
"CEBPHRASE","Gabíi na lang wà gihápun siya,"
"TEXT","It’s already night and he still has not come home."
"NUMBER","3c2"
"CEBWORD","dayag, kláru na —"
"TEXT","obviously, can’t help being that way."
