"Type","Content"
"CEBWORD","mau — ug, nga"
"TEXT","just exactly like, as if."
"LINK","mau"
"TEXT",","
"CEBPHRASE","3, 4."
"NUMBER","2d"
"CEBWORD","maáyu —"
"TEXT","it would be just the right thing."
"CEBPHRASE","Maáyu rag mamatay siya,"
"TEXT","It would serve him right if he died."
"CEBPHRASE","Maáyu rang napildi siya,"
"TEXT","Serves him right that he lost. (<i lang=""cebword"">see also</i>"
"CEBWORD","3c"
"TEXT","<i lang=""cebword"">and</i>"
"CEBWORD","4d"
"TEXT",".)"
"NUMBER","3"
"TEXT","[so-and-so] is certain to happen."
"CEBPHRASE","Muanhi ra nà,"
"TEXT","He’ll come, don’t worry."
"CEBPHRASE","May adlaw rang gabáan ka,"
"TEXT","The day will come when you get yours."
"CEBPHRASE","Magkítà ra tag usab,"
"TEXT","We’ll surely see each other again."
"NUMBER","3a"
"CEBWORD","— gayud"
"TEXT","[so-and-so] will, did finally happen, despite everything."
"CEBPHRASE","Nakatápus ra giyud ku,"
"TEXT","I finished, despite everything."
"CEBPHRASE","Gimahalan ra giyud mi sa tambal,"
"TEXT","Much as we needed it, we found the medicine too expensive."
"NUMBER","3b"
"CEBWORD","bantug —"
"TEXT","no wonder."
"CEBPHRASE","Bantug rang nagdalì. Mamisíta diay siya,"
"TEXT","No wonder he was in such a rush. He wants to visit s.o."
"NUMBER","3b1"
"CEBWORD","kanyáhay —"
"TEXT","no wonder [such-and-such] a thing always happens."
"CEBPHRASE","Kanyáhay rang dì padúul nang batáa nímu, kay hingúsì ka,"
"TEXT","No wonder that child won’t let you get near him. You keep pinching him."
"NUMBER","3c"
"CEBWORD","maáyu —"
"TEXT","some day it will be good for s.t."
"CEBPHRASE","Ayg ilábay kay maáyu ra unyà nà,"
"TEXT","Don’t throw it away because someday it will be of some use."
"NUMBER","4"
"CEBWORD","<span class=""rm"">[<i lang=""ceb"">adj.</i>]</span> —"
"NUMBER","4a"
"TEXT","too or more [adj.] than satisfactory."
"CEBPHRASE","Ang sapátus dakù ra kaáyu pára nákù,"
"TEXT","The shoes are too big for me."
"NUMBER","4b"
"TEXT","<i lang=""cebword"">with adjectives indicating the smaller, the easier, cheaper, lesser of two opposites:</i> only a (small, light, short) very (easy, cheap, etc.)."
"CEBPHRASE","Kanang Tuway gamay ra nang baryúha,"
"TEXT","Toway is just a small barrio."
"CEBPHRASE","A, sayun ra kaáyu,"
"TEXT","Oh, it’s so easy."
"NUMBER","4b1"
"CEBWORD","láin, lahì —"
"TEXT","very much different."
"CEBPHRASE","Lahì ra ang ímung batásan kay sa ákù,"
"TEXT","Your ways are very different from mine."
"CEBWORD","subra —"
"TEXT","much too much."
"CEBPHRASE","Subra ra ang ímung gihátag,"
"TEXT","You gave much too much."
"NUMBER","4b2"
"CEBWORD","layù —, walà —"
"TEXT","very far behind in, not anywhere near as good as."
"CEBPHRASE","Ang inyung balay layù ra sa ámù,"
"TEXT","Your house isn’t anywhere near as nice as ours."
"CEBPHRASE","Walà ka ra sa kumingking itandì nákù,"
"TEXT","You’re nothing compared to me—not even up to my little finger."
"NUMBER","4c"
"CEBWORD","sámuk —"
"TEXT","leave me be. (You’re too much of a nuisance.)"
"CEBPHRASE","Sámuk ra. Magtuun ku,"
"TEXT","Leave me alone. I want to study."
"NUMBER","4d"
"CEBWORD","maáyu —"
"TEXT","very nice."
"CEBPHRASE","Maáyu rang ipakung nang úlu mu sa bungbung,"
"TEXT","How nice it would be to smash your head against the wall."
"NUMBER","5"
"TEXT","<i lang=""cebword"">with imperatives:</i> particle taking the abruptness out of a command but definitely a command given to s.o. who doesn’t have the right to refuse."
"CEBPHRASE","Ambi ra nang kutsilyu,"
"TEXT","Let me have that knife."
"NUMBER","5a"
"CEBWORD","— ugud"
"LINK","ra"
"TEXT",", <i lang=""cebword"">5,</i> but with slightly less curtness."
"CEBPHRASE","Kuháa ra gud ri,"
"TEXT","Would you come get this, please."
"NUMBER","5b"
"CEBWORD","tan-áwa —, — gud"
"TEXT","can you beat that!"
"CEBPHRASE","Tan-áwa ra, siyay nangúna siya pay nangísug,"
"TEXT","Take a look at that! He started it and now he gets mad!"
"NUMBER","5c"
"CEBWORD","— gánì"
"TEXT","go on now and do [so-and-so]."
"CEBPHRASE","Lakaw ra ngánì kay dúru na nílang paábut,"
"TEXT","Go on now. They have been waiting forever."
"CEBPHRASE","Ayaw ra gánì nag garùgarúa,"
"TEXT","Stop jiggling that. You know you shouldn’t."
"NUMBER","6"
"CEBWORD","yátì, yáwà, yátis —"
"TEXT","I don’t believe it."
"CEBPHRASE","Kadaug kas swipstik? Yátì ra!"
"TEXT","You won the sweepstakes? I don’t believe it."
"NUMBER","6a"
"TEXT","in accepting a challenge: I don’t believe you dare challenge me!"
"CEBPHRASE","Yátì ra! Makigsumbagay ka nàkù?"
"TEXT","You mean to say you dare challenge me to a fight?"
"NUMBER","7"
"CEBWORD","— ba"
"NUMBER","7a"
"TEXT","particle with a reason which is given as advice or warning."
"CEBPHRASE","Higúpa dáyun kay ínit pa ra ba,"
"TEXT","Eat it right away because it’s still warm."
"CEBPHRASE","Mangísug ra ba tug madúgay ka,"
"TEXT","He will get angry if you take too long."
"NUMBER","7b"
"TEXT","ordinarily [so-and-so] would have been OK, but ..."
"CEBPHRASE","Sus, nía na ang mga bisíta. Wà ra ba tay giandam,"
"TEXT","My! The visitors have arrived and here we don’t have anything to give them."
