"Word","TokenFile"
"atras","para_a_1366.xml"
"atrasádu","para_a_1367.xml"
"atrasar","para_a_1368.xml"
"atrasáwu","para_a_1369.xml"
"Adbiyintu","para_a_137.xml"
"atrásu","para_a_1370.xml"
"atribídu","para_a_1371.xml"
"atribir","para_a_1372.xml"
"atril1","para_a_1373.xml"
"atril2","para_a_1374.xml"
"atripisyu, atripisyun","para_a_1375.xml"
"atsa","para_a_1376.xml"
"atsaatsa","para_a_1377.xml"
"atsal","para_a_1378.xml"
"atsar","para_a_1379.xml"
"adgaw","para_a_138.xml"
"atsára","para_a_1380.xml"
"atsay1","para_a_1381.xml"
"*atsay2","para_a_1382.xml"
"atsi1","para_a_1383.xml"
"atsi2","para_a_1384.xml"
"atsuytis","para_a_1385.xml"
"atu","para_a_1386.xml"
"átu","para_a_1387.xml"
"átù","para_a_1388.xml"
"atúa","para_a_1389.xml"
"adía","para_a_139.xml"
"átub1","para_a_1390.xml"
"átub2","para_a_1391.xml"
"átub3","para_a_1392.xml"
"atubang","para_a_1393.xml"
"átud","para_a_1394.xml"
"atug","para_a_1395.xml"
"atug-atug","para_a_1396.xml"
"atul","para_a_1397.xml"
"atuli","para_a_1398.xml"
"átum1","para_a_1399.xml"
"abaga","para_a_14.xml"
"ádik","para_a_140.xml"
"*átum2","para_a_1400.xml"
"atumátik","para_a_1401.xml"
"*atúmik","para_a_1402.xml"
"atumika","para_a_1403.xml"
"atung","para_a_1404.xml"
"atup","para_a_1405.xml"
"atup-atup1","para_a_1406.xml"
"aturga, aturgǎr","para_a_1407.xml"
"aturni","para_a_1408.xml"
"atutung","para_a_1409.xml"
"adilantádu","para_a_141.xml"
"aw, àw","para_a_1410.xml"
"áwà1","para_a_1411.xml"
"áwà2","para_a_1412.xml"
"awáaw","para_a_1413.xml"
"awahi","para_a_1414.xml"
"áwak","para_a_1415.xml"
"awang1","para_a_1416.xml"
"awang2","para_a_1417.xml"
"áwas","para_a_1418.xml"
"awat, áwat1","para_a_1419.xml"
"adilantar","para_a_142.xml"
"áwat2","para_a_1420.xml"
"aw-aw","para_a_1421.xml"
"áway","para_a_1422.xml"
"awdisyun","para_a_1423.xml"
"awditíbu","para_a_1424.xml"
"awditur","para_a_1425.xml"
"awdituryum","para_a_1426.xml"
"awgid","para_a_1427.xml"
"awhag","para_a_1428.xml"
"awhu","para_a_1429.xml"
"adilantu","para_a_143.xml"
"awíhaw","para_a_1430.xml"
"áwil","para_a_1431.xml"
"áwit","para_a_1432.xml"
"awlà","para_a_1433.xml"
"*awra","para_a_1434.xml"
"awrúra1","para_a_1435.xml"
"awrúra2","para_a_1436.xml"
